14:46:56 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=/home/orion51/Desktop/Research/spectral_fitting/FGL_spectral_fitting/Individual_sources/2CXOJ150234.5+015205/powerlaw_out_, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:47:00 [ultranest] [DEBUG] iteration=234, ncalls=677, regioncalls=11080, ndraw=40, logz=-9831.22, remainder_fraction=100.0000%, Lmin=-8976.83, Lmax=-461.40
14:47:00 [ultranest] [DEBUG] iteration=240, ncalls=684, regioncalls=11360, ndraw=40, logz=-5747.59, remainder_fraction=100.0000%, Lmin=-5726.07, Lmax=-461.40
14:47:00 [ultranest] [DEBUG] iteration=250, ncalls=699, regioncalls=11960, ndraw=40, logz=-3512.59, remainder_fraction=100.0000%, Lmin=-3443.20, Lmax=-461.40
14:47:00 [ultranest] [DEBUG] iteration=262, ncalls=714, regioncalls=12560, ndraw=40, logz=-2180.31, remainder_fraction=100.0000%, Lmin=-2128.61, Lmax=-461.40
14:47:00 [ultranest] [DEBUG] iteration=270, ncalls=725, regioncalls=13000, ndraw=40, logz=-1535.08, remainder_fraction=100.0000%, Lmin=-1424.85, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] iteration=277, ncalls=739, regioncalls=13560, ndraw=40, logz=-1257.76, remainder_fraction=100.0000%, Lmin=-1187.19, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] iteration=280, ncalls=743, regioncalls=13720, ndraw=40, logz=-1103.85, remainder_fraction=100.0000%, Lmin=-1090.90, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] iteration=292, ncalls=758, regioncalls=14320, ndraw=40, logz=-885.19, remainder_fraction=100.0000%, Lmin=-858.78, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] iteration=303, ncalls=773, regioncalls=14920, ndraw=40, logz=-763.34, remainder_fraction=100.0000%, Lmin=-751.70, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] iteration=316, ncalls=787, regioncalls=15480, ndraw=40, logz=-609.34, remainder_fraction=100.0000%, Lmin=-602.73, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] iteration=320, ncalls=791, regioncalls=15640, ndraw=40, logz=-605.41, remainder_fraction=100.0000%, Lmin=-588.32, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] iteration=333, ncalls=805, regioncalls=16200, ndraw=40, logz=-555.99, remainder_fraction=100.0000%, Lmin=-546.78, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] iteration=341, ncalls=815, regioncalls=16600, ndraw=40, logz=-546.17, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] iteration=344, ncalls=816, regioncalls=16640, ndraw=40, logz=-545.70, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] iteration=402, ncalls=817, regioncalls=16680, ndraw=40, logz=-543.60, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] iteration=404, ncalls=818, regioncalls=16720, ndraw=40, logz=-543.57, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] iteration=407, ncalls=822, regioncalls=16880, ndraw=40, logz=-543.53, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] Plateau detected at L=-5.409426e+02, not replacing live point.
14:47:01 [ultranest] [DEBUG] iteration=410, ncalls=827, regioncalls=17080, ndraw=40, logz=-543.48, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:01 [ultranest] [DEBUG] iteration=418, ncalls=841, regioncalls=17640, ndraw=40, logz=-543.38, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:02 [ultranest] [DEBUG] iteration=425, ncalls=860, regioncalls=18400, ndraw=40, logz=-543.31, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:02 [ultranest] [DEBUG] iteration=429, ncalls=877, regioncalls=19080, ndraw=40, logz=-543.27, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:02 [ultranest] [DEBUG] iteration=432, ncalls=895, regioncalls=19800, ndraw=40, logz=-543.24, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:02 [ultranest] [DEBUG] iteration=440, ncalls=912, regioncalls=20480, ndraw=40, logz=-543.16, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:02 [ultranest] [DEBUG] iteration=449, ncalls=930, regioncalls=21200, ndraw=40, logz=-543.09, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:02 [ultranest] [DEBUG] iteration=455, ncalls=946, regioncalls=21840, ndraw=40, logz=-543.04, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:02 [ultranest] [DEBUG] iteration=457, ncalls=963, regioncalls=22520, ndraw=40, logz=-543.02, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:02 [ultranest] [DEBUG] iteration=467, ncalls=981, regioncalls=23240, ndraw=40, logz=-542.96, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:02 [ultranest] [DEBUG] iteration=475, ncalls=997, regioncalls=23880, ndraw=40, logz=-542.90, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:02 [ultranest] [DEBUG] iteration=480, ncalls=1004, regioncalls=24160, ndraw=40, logz=-542.87, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:03 [ultranest] [DEBUG] iteration=486, ncalls=1018, regioncalls=24720, ndraw=40, logz=-542.84, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:03 [ultranest] [DEBUG] iteration=492, ncalls=1034, regioncalls=25360, ndraw=40, logz=-542.81, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:03 [ultranest] [DEBUG] iteration=499, ncalls=1050, regioncalls=26000, ndraw=40, logz=-542.77, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:03 [ultranest] [DEBUG] iteration=508, ncalls=1066, regioncalls=26640, ndraw=40, logz=-542.73, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:03 [ultranest] [DEBUG] iteration=515, ncalls=1082, regioncalls=27280, ndraw=40, logz=-542.70, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:03 [ultranest] [DEBUG] iteration=520, ncalls=1092, regioncalls=27680, ndraw=40, logz=-542.67, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:03 [ultranest] [DEBUG] iteration=528, ncalls=1108, regioncalls=28320, ndraw=40, logz=-542.64, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:03 [ultranest] [DEBUG] iteration=534, ncalls=1125, regioncalls=29000, ndraw=40, logz=-542.62, remainder_fraction=100.0000%, Lmin=-540.94, Lmax=-461.40
14:47:03 [ultranest] [DEBUG] iteration=543, ncalls=1145, regioncalls=29800, ndraw=40, logz=-542.58, remainder_fraction=100.0000%, Lmin=-540.93, Lmax=-461.40
14:47:04 [ultranest] [DEBUG] iteration=546, ncalls=1168, regioncalls=30720, ndraw=40, logz=-542.57, remainder_fraction=100.0000%, Lmin=-540.93, Lmax=-461.40
14:47:04 [ultranest] [DEBUG] iteration=554, ncalls=1185, regioncalls=31400, ndraw=40, logz=-542.54, remainder_fraction=100.0000%, Lmin=-540.92, Lmax=-461.40
14:47:04 [ultranest] [DEBUG] iteration=558, ncalls=1202, regioncalls=32080, ndraw=40, logz=-542.53, remainder_fraction=100.0000%, Lmin=-540.91, Lmax=-461.40
14:47:04 [ultranest] [DEBUG] iteration=560, ncalls=1205, regioncalls=32200, ndraw=40, logz=-542.52, remainder_fraction=100.0000%, Lmin=-540.91, Lmax=-461.40
14:47:04 [ultranest] [DEBUG] iteration=563, ncalls=1223, regioncalls=32920, ndraw=40, logz=-542.51, remainder_fraction=100.0000%, Lmin=-540.91, Lmax=-461.40
14:47:04 [ultranest] [DEBUG] iteration=571, ncalls=1240, regioncalls=33600, ndraw=40, logz=-542.49, remainder_fraction=100.0000%, Lmin=-540.90, Lmax=-461.40
14:47:04 [ultranest] [DEBUG] iteration=579, ncalls=1257, regioncalls=34280, ndraw=40, logz=-542.46, remainder_fraction=100.0000%, Lmin=-540.88, Lmax=-461.40
14:47:04 [ultranest] [DEBUG] iteration=582, ncalls=1274, regioncalls=34960, ndraw=40, logz=-542.45, remainder_fraction=100.0000%, Lmin=-540.88, Lmax=-461.40
14:47:04 [ultranest] [DEBUG] iteration=588, ncalls=1292, regioncalls=35680, ndraw=40, logz=-542.44, remainder_fraction=100.0000%, Lmin=-540.87, Lmax=-461.40
14:47:04 [ultranest] [DEBUG] iteration=593, ncalls=1311, regioncalls=36440, ndraw=40, logz=-542.42, remainder_fraction=100.0000%, Lmin=-540.85, Lmax=-461.40
14:47:05 [ultranest] [DEBUG] iteration=599, ncalls=1333, regioncalls=37320, ndraw=40, logz=-542.40, remainder_fraction=100.0000%, Lmin=-540.82, Lmax=-461.40
14:47:05 [ultranest] [DEBUG] iteration=600, ncalls=1334, regioncalls=37360, ndraw=40, logz=-542.40, remainder_fraction=100.0000%, Lmin=-540.82, Lmax=-461.40
14:47:05 [ultranest] [DEBUG] iteration=606, ncalls=1351, regioncalls=38040, ndraw=40, logz=-542.38, remainder_fraction=100.0000%, Lmin=-540.81, Lmax=-461.40
14:47:05 [ultranest] [DEBUG] iteration=612, ncalls=1377, regioncalls=39080, ndraw=40, logz=-542.37, remainder_fraction=100.0000%, Lmin=-540.75, Lmax=-461.40
14:47:05 [ultranest] [DEBUG] iteration=621, ncalls=1402, regioncalls=40080, ndraw=40, logz=-542.34, remainder_fraction=100.0000%, Lmin=-540.70, Lmax=-461.40
14:47:05 [ultranest] [DEBUG] iteration=626, ncalls=1422, regioncalls=40880, ndraw=40, logz=-542.33, remainder_fraction=100.0000%, Lmin=-540.69, Lmax=-461.40
14:47:05 [ultranest] [DEBUG] iteration=631, ncalls=1439, regioncalls=41560, ndraw=40, logz=-542.31, remainder_fraction=100.0000%, Lmin=-540.67, Lmax=-461.40
14:47:05 [ultranest] [DEBUG] iteration=638, ncalls=1453, regioncalls=42120, ndraw=40, logz=-542.29, remainder_fraction=100.0000%, Lmin=-540.63, Lmax=-461.40
14:47:05 [ultranest] [DEBUG] iteration=640, ncalls=1455, regioncalls=42200, ndraw=40, logz=-542.29, remainder_fraction=100.0000%, Lmin=-540.59, Lmax=-461.40
14:47:05 [ultranest] [DEBUG] iteration=647, ncalls=1470, regioncalls=42800, ndraw=40, logz=-542.27, remainder_fraction=100.0000%, Lmin=-540.48, Lmax=-461.40
14:47:06 [ultranest] [DEBUG] iteration=652, ncalls=1490, regioncalls=43600, ndraw=40, logz=-542.25, remainder_fraction=100.0000%, Lmin=-540.41, Lmax=-461.40
14:47:06 [ultranest] [DEBUG] iteration=660, ncalls=1507, regioncalls=44280, ndraw=40, logz=-542.22, remainder_fraction=100.0000%, Lmin=-540.31, Lmax=-461.40
14:47:06 [ultranest] [DEBUG] iteration=670, ncalls=1523, regioncalls=44920, ndraw=40, logz=-542.19, remainder_fraction=100.0000%, Lmin=-540.20, Lmax=-461.40
14:47:06 [ultranest] [DEBUG] iteration=675, ncalls=1539, regioncalls=45560, ndraw=40, logz=-542.17, remainder_fraction=100.0000%, Lmin=-540.14, Lmax=-461.40
14:47:06 [ultranest] [DEBUG] iteration=680, ncalls=1549, regioncalls=45960, ndraw=40, logz=-542.15, remainder_fraction=100.0000%, Lmin=-540.12, Lmax=-461.40
14:47:06 [ultranest] [DEBUG] iteration=686, ncalls=1565, regioncalls=46600, ndraw=40, logz=-542.13, remainder_fraction=100.0000%, Lmin=-540.07, Lmax=-461.40
14:47:06 [ultranest] [DEBUG] iteration=695, ncalls=1582, regioncalls=47280, ndraw=40, logz=-542.10, remainder_fraction=100.0000%, Lmin=-539.95, Lmax=-461.40
14:47:06 [ultranest] [DEBUG] iteration=701, ncalls=1603, regioncalls=48120, ndraw=40, logz=-542.08, remainder_fraction=100.0000%, Lmin=-539.83, Lmax=-461.40
14:47:06 [ultranest] [DEBUG] iteration=705, ncalls=1625, regioncalls=49000, ndraw=40, logz=-542.06, remainder_fraction=100.0000%, Lmin=-539.82, Lmax=-461.40
14:47:07 [ultranest] [DEBUG] iteration=708, ncalls=1643, regioncalls=49720, ndraw=40, logz=-542.05, remainder_fraction=100.0000%, Lmin=-539.75, Lmax=-461.40
14:47:07 [ultranest] [DEBUG] iteration=714, ncalls=1671, regioncalls=50840, ndraw=40, logz=-542.02, remainder_fraction=100.0000%, Lmin=-539.62, Lmax=-461.40
14:47:07 [ultranest] [DEBUG] iteration=718, ncalls=1688, regioncalls=51520, ndraw=40, logz=-542.00, remainder_fraction=100.0000%, Lmin=-539.53, Lmax=-461.40
14:47:07 [ultranest] [DEBUG] iteration=720, ncalls=1692, regioncalls=51680, ndraw=40, logz=-541.99, remainder_fraction=100.0000%, Lmin=-539.51, Lmax=-461.40
14:47:07 [ultranest] [DEBUG] iteration=725, ncalls=1714, regioncalls=52560, ndraw=40, logz=-541.97, remainder_fraction=100.0000%, Lmin=-539.48, Lmax=-461.40
14:47:07 [ultranest] [DEBUG] iteration=731, ncalls=1732, regioncalls=53280, ndraw=40, logz=-541.94, remainder_fraction=100.0000%, Lmin=-539.39, Lmax=-461.40
14:47:07 [ultranest] [DEBUG] iteration=737, ncalls=1749, regioncalls=53960, ndraw=40, logz=-541.91, remainder_fraction=100.0000%, Lmin=-539.29, Lmax=-461.40
14:47:07 [ultranest] [DEBUG] iteration=742, ncalls=1772, regioncalls=54880, ndraw=40, logz=-541.88, remainder_fraction=100.0000%, Lmin=-539.22, Lmax=-461.40
14:47:07 [ultranest] [DEBUG] iteration=748, ncalls=1789, regioncalls=55560, ndraw=40, logz=-541.84, remainder_fraction=100.0000%, Lmin=-539.13, Lmax=-461.40
14:47:08 [ultranest] [DEBUG] iteration=753, ncalls=1810, regioncalls=56400, ndraw=40, logz=-541.81, remainder_fraction=100.0000%, Lmin=-538.96, Lmax=-461.40
14:47:08 [ultranest] [DEBUG] iteration=756, ncalls=1832, regioncalls=57280, ndraw=40, logz=-541.79, remainder_fraction=100.0000%, Lmin=-538.92, Lmax=-461.40
14:47:08 [ultranest] [DEBUG] iteration=760, ncalls=1846, regioncalls=57840, ndraw=40, logz=-541.77, remainder_fraction=100.0000%, Lmin=-538.84, Lmax=-461.40
14:47:08 [ultranest] [DEBUG] iteration=766, ncalls=1864, regioncalls=58560, ndraw=40, logz=-541.72, remainder_fraction=100.0000%, Lmin=-538.69, Lmax=-461.40
14:47:08 [ultranest] [DEBUG] iteration=775, ncalls=1882, regioncalls=59280, ndraw=40, logz=-541.65, remainder_fraction=100.0000%, Lmin=-538.40, Lmax=-461.40
14:47:08 [ultranest] [DEBUG] iteration=781, ncalls=1907, regioncalls=60280, ndraw=40, logz=-541.59, remainder_fraction=100.0000%, Lmin=-538.24, Lmax=-461.40
14:47:08 [ultranest] [DEBUG] iteration=787, ncalls=1923, regioncalls=60920, ndraw=40, logz=-541.53, remainder_fraction=100.0000%, Lmin=-537.99, Lmax=-458.12
14:47:08 [ultranest] [DEBUG] iteration=790, ncalls=1940, regioncalls=61600, ndraw=40, logz=-541.49, remainder_fraction=100.0000%, Lmin=-537.85, Lmax=-458.12
14:47:09 [ultranest] [DEBUG] iteration=795, ncalls=1956, regioncalls=62240, ndraw=40, logz=-541.43, remainder_fraction=100.0000%, Lmin=-537.72, Lmax=-458.12
14:47:09 [ultranest] [DEBUG] iteration=800, ncalls=1972, regioncalls=62880, ndraw=40, logz=-541.36, remainder_fraction=100.0000%, Lmin=-537.64, Lmax=-458.12
14:47:09 [ultranest] [DEBUG] iteration=805, ncalls=1993, regioncalls=63720, ndraw=40, logz=-541.29, remainder_fraction=100.0000%, Lmin=-537.48, Lmax=-458.12
14:47:09 [ultranest] [DEBUG] iteration=806, ncalls=2010, regioncalls=64400, ndraw=40, logz=-541.28, remainder_fraction=100.0000%, Lmin=-537.46, Lmax=-458.12
14:47:09 [ultranest] [DEBUG] iteration=810, ncalls=2027, regioncalls=65080, ndraw=40, logz=-541.22, remainder_fraction=100.0000%, Lmin=-537.33, Lmax=-458.12
14:47:09 [ultranest] [DEBUG] iteration=813, ncalls=2048, regioncalls=65920, ndraw=40, logz=-541.17, remainder_fraction=100.0000%, Lmin=-537.28, Lmax=-458.12
14:47:09 [ultranest] [DEBUG] iteration=819, ncalls=2066, regioncalls=66640, ndraw=40, logz=-541.08, remainder_fraction=100.0000%, Lmin=-537.15, Lmax=-458.12
14:47:09 [ultranest] [DEBUG] iteration=824, ncalls=2085, regioncalls=67400, ndraw=40, logz=-540.99, remainder_fraction=100.0000%, Lmin=-537.01, Lmax=-458.12
14:47:09 [ultranest] [DEBUG] iteration=830, ncalls=2106, regioncalls=68240, ndraw=40, logz=-540.89, remainder_fraction=100.0000%, Lmin=-536.85, Lmax=-458.12
14:47:10 [ultranest] [DEBUG] iteration=834, ncalls=2125, regioncalls=69000, ndraw=40, logz=-540.82, remainder_fraction=100.0000%, Lmin=-536.78, Lmax=-458.12
